filename,target,file_id
ambience_000000.pt,0,0
ambience_000001.pt,0,0
ambience_000002.pt,0,0
ambience_000003.pt,0,0
ambience_000004.pt,0,0
ambience_000005.pt,0,0
ambience_000006.pt,0,0
ambience_000007.pt,0,0
ambience_000008.pt,0,0
ambience_000009.pt,0,0
ambience_000010.pt,0,0
ambience_000011.pt,0,0
ambience_000012.pt,0,0
ambience_000013.pt,0,0
ambience_000014.pt,0,0
ambience_000015.pt,0,0
ambience_000016.pt,0,0
ambience_000017.pt,0,0
ambience_000018.pt,0,0
ambience_000019.pt,0,0
ambience_000020.pt,0,0
ambience_000021.pt,0,0
ambience_000022.pt,0,0
ambience_000023.pt,0,0
ambience_000024.pt,0,0
ambience_000025.pt,0,0
ambience_000026.pt,0,0
ambience_000027.pt,0,0
ambience_000028.pt,0,0
ambience_000029.pt,0,0
ambience_000030.pt,0,0
ambience_000031.pt,0,0
ambience_000032.pt,0,0
ambience_000033.pt,0,0
ambience_000034.pt,0,0
ambience_000035.pt,0,0
ambience_000036.pt,0,0
ambience_000037.pt,0,0
ambience_000038.pt,0,0
ambience_000039.pt,0,0
ambience_000040.pt,0,0
ambience_000041.pt,0,0
ambience_000042.pt,0,0
ambience_000043.pt,0,0
ambience_000044.pt,0,0
ambience_000045.pt,0,0
ambience_000046.pt,0,0
ambience_000047.pt,0,0
ambience_000048.pt,0,0
ambience_000049.pt,0,0
ambience_000050.pt,0,0
ambience_000051.pt,0,0
ambience_000052.pt,0,0
ambience_000053.pt,0,0
ambience_000054.pt,0,0
ambience_000055.pt,0,0
ambience_000056.pt,0,0
ambience_000057.pt,0,0
ambience_000058.pt,0,0
ambience_000059.pt,0,0
ambience_000060.pt,0,0
ambience_000061.pt,0,0
ambience_000062.pt,0,0
ambience_000063.pt,0,0
ambience_000064.pt,0,0
ambience_000065.pt,0,0
ambience_000066.pt,0,0
ambience_000067.pt,0,0
ambience_000068.pt,0,0
ambience_000069.pt,0,0
ambience_000070.pt,0,0
ambience_000071.pt,0,0
ambience_000072.pt,0,0
ambience_000073.pt,0,0
ambience_000074.pt,0,0
ambience_000075.pt,0,0
ambience_000076.pt,0,0
ambience_000077.pt,0,0
ambience_000078.pt,0,0
ambience_000079.pt,0,0
ambience_000080.pt,0,0
ambience_000081.pt,0,0
ambience_000082.pt,0,0
ambience_000083.pt,0,0
ambience_000084.pt,0,0
ambience_000085.pt,0,0
ambience_000086.pt,0,0
ambience_000087.pt,0,0
ambience_000088.pt,0,0
ambience_000089.pt,0,0
ambience_000090.pt,0,0
ambience_000091.pt,0,0
ambience_000092.pt,0,0
ambience_000093.pt,0,0
ambience_000094.pt,0,0
ambience_000095.pt,0,0
ambience_000096.pt,0,0
ambience_000097.pt,0,0
ambience_000098.pt,0,0
ambience_000099.pt,0,0
ambience_000100.pt,0,0
ambience_000101.pt,0,0
ambience_000102.pt,0,0
ambience_000103.pt,0,0
ambience_000104.pt,0,0
ambience_000105.pt,0,0
ambience_000106.pt,0,0
ambience_000107.pt,0,0
ambience_000108.pt,0,0
ambience_000109.pt,0,0
ambience_000110.pt,0,0
ambience_000111.pt,0,0
ambience_000112.pt,0,0
ambience_000113.pt,0,0
ambience_000114.pt,0,0
ambience_000115.pt,0,0
ambience_000116.pt,0,0
ambience_000117.pt,0,0
ambience_000118.pt,0,0
ambience_000119.pt,0,0
ambience_000120.pt,0,0
ambience_000121.pt,0,0
ambience_000122.pt,0,0
ambience_000123.pt,0,0
ambience_000124.pt,0,0
ambience_000125.pt,0,0
ambience_000126.pt,0,0
ambience_000127.pt,0,0
ambience_000128.pt,0,0
ambience_000129.pt,0,0
ambience_000130.pt,0,0
ambience_000131.pt,0,0
ambience_000132.pt,0,0
ambience_000133.pt,0,0
ambience_000134.pt,0,0
ambience_000135.pt,0,0
ambience_000136.pt,0,0
ambience_000137.pt,0,0
ambience_000138.pt,0,0
ambience_000139.pt,0,0
ambience_000140.pt,0,0
ambience_000141.pt,0,0
ambience_000142.pt,0,0
ambience_000143.pt,0,0
ambience_000144.pt,0,0
ambience_000145.pt,0,0
ambience_000146.pt,0,0
ambience_000147.pt,0,0
ambience_000148.pt,0,0
ambience_000149.pt,0,0
ambience_000150.pt,0,0
ambience_000151.pt,0,0
ambience_000152.pt,0,0
ambience_000153.pt,0,0
ambience_000154.pt,0,0
ambience_000155.pt,0,0
ambience_000156.pt,0,0
ambience_000157.pt,0,0
ambience_000158.pt,0,0
ambience_000159.pt,0,0
ambience_000160.pt,0,0
ambience_000161.pt,0,0
ambience_000162.pt,0,0
ambience_000163.pt,0,0
ambience_000164.pt,0,0
ambience_000165.pt,0,0
ambience_000166.pt,0,0
ambience_000167.pt,0,0
ambience_000168.pt,0,0
ambience_000169.pt,0,0
ambience_000170.pt,0,0
ambience_000171.pt,0,0
ambience_000172.pt,0,0
ambience_000173.pt,0,0
ambience_000174.pt,0,0
ambience_000175.pt,0,0
ambience_000176.pt,0,0
ambience_000177.pt,0,0
ambience_000178.pt,0,0
ambience_000179.pt,0,0
ambience_000180.pt,0,0
ambience_000181.pt,0,0
ambience_000182.pt,0,0
ambience_000183.pt,0,0
ambience_000184.pt,0,0
ambience_000185.pt,0,0
ambience_000186.pt,0,0
ambience_000187.pt,0,0
ambience_000188.pt,0,0
ambience_000189.pt,0,0
ambience_000190.pt,0,0
ambience_000191.pt,0,0
ambience_000192.pt,0,0
ambience_000193.pt,0,0
ambience_000194.pt,0,0
ambience_000195.pt,0,0
ambience_000196.pt,0,0
ambience_000197.pt,0,0
ambience_000198.pt,0,0
ambience_000199.pt,0,0
ambience_000200.pt,0,0
ambience_000201.pt,0,0
ambience_000202.pt,0,0
ambience_000203.pt,0,0
ambience_000204.pt,0,0
ambience_000205.pt,0,0
ambience_000206.pt,0,0
ambience_000207.pt,0,0
ambience_000208.pt,0,0
ambience_000209.pt,0,0
ambience_000210.pt,0,0
ambience_000211.pt,0,0
ambience_000212.pt,0,0
ambience_000213.pt,0,0
ambience_000214.pt,0,0
ambience_000215.pt,0,0
ambience_000216.pt,0,0
ambience_000217.pt,0,0
ambience_000218.pt,0,0
ambience_000219.pt,0,0
ambience_000220.pt,0,0
ambience_000221.pt,0,0
ambience_000222.pt,0,0
ambience_000223.pt,0,0
ambience_000224.pt,0,0
ambience_000225.pt,0,0
ambience_000226.pt,0,0
ambience_000227.pt,0,0
ambience_000228.pt,0,0
ambience_000229.pt,0,0
ambience_000230.pt,0,0
ambience_000231.pt,0,0
ambience_000232.pt,0,0
ambience_000233.pt,0,0
ambience_000234.pt,0,0
ambience_000235.pt,0,0
ambience_000236.pt,0,0
ambience_000237.pt,0,0
